text,sentiment
team recherche gastarbeiter kurzzeitig festgenommen ausrüstung beschlagnahmt,Negativ
land wm stattfinden eigentlich passieren krankes system,Postiv/neutral
ardfernsehteam recherchen situation gastarbeiter festgenommen,Negativ
recherchearbeiten katar fußballwm wurde zdf kamerateam festgenommen,Negativ
obwohl brav tvrechte gekauft,Postiv/neutral
belgischen zweitligisten übernommen spieler auszubilden,Postiv/neutral
gewusst katar belgischen fußballclub ka eupen übernommen nationalspieler auszubilden,Postiv/neutral
muhahahaha mindestens 5 jahre verschoben züge fehlen lol,Postiv/neutral
41 neue s 11600 zimmern gebaut gt via,Negativ
franz baukonzern wg zwangsarbeit zusammenhang ermittelt,Negativ
frage muß lauten zahlte katar 238 milliarden euro stimmberechtigten,Negativ
katar gekauft englische medien gießen l feuer,Postiv/neutral
britische medienberichte zahlte katar 238 milliarden euro,Negativ
verdrängt ausrsüter zahlt inkl etwa 516 millionen euro,Negativ
vergabe milliardenzahlungen wissen macht blind,Negativ
angaben katar 23 milliarden euro 14 stimmen doppelten wmvergabe 2010 bezahlt,Negativ
spätestens sollten mitgliedsverbände uefa boykott drohen,Negativ
katar null chancen text freund katar star züchtet,Negativ
beweise stimmenkauf weiß macht anscheinend,Postiv/neutral
fordert wegen massiver korruptionsvorwürfe entziehen klar immer besonders konsequent,Negativ
wm2022stadion al rayyan stadium gibt nachhaltigkeitsmodus scherz,Negativ
eindeutig heute leider ausreichend zustimmung gab 50000 usdollar,Postiv/neutral
europarat fordert entzug katar,Negativ
katar wurde entwurf al rayyan stadium vorgestellt gt,Negativ
möchte bayerische vertretung golf besuch elite kosten freistaats,Negativ
wieviel schmiergeld wohl geflossen,Negativ
testlauf winter verlegt,Negativ
weist kirchenkritik fußballwm zurück schreiben liegt idea,Postiv/neutral
fußballprofi kritisch reflektiert maroh eindrücke,Postiv/neutral
kleiner ausblick katar verging profi maroh lust fußball via,Postiv/neutral
wm ausrichten profi dominic maroh,Postiv/neutral
wm ausrichten erster gedanke maroh sprach ksta,Postiv/neutral
slowenischen nati katar gesehen schockierend,Postiv/neutral
rummenigges platinis welt arsch hose hätten herrn blatter sagen mach,Postiv/neutral
katar übrigens,Postiv/neutral
